Letter title,Date,To Address,From Address,Addresses mentioned,Persons,Places,Organizations,Works,Events
Autograph Letter Signed W. H. Auden to Stella Musulin 1960-07-21,7/21/1960,Fridau Obergrafendorf bei St. Pölten N.Ö.,Hinterholz 6 Kirchstetten N.Ö.,,,Christ Church Oxford,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1962-07-23,7/23/1962,Fridau Obergrafendorf bei St. Pölten N.Ö.,Hinterholz 6 Kirchstetten N.Ö.,,Christiane Zimmer,,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1962-10-17,10/17/1962,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,“the Pfarrer”,,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1963-05-12,5/12/1963,Neulinggasse 26 Wien III; Fridau Obergrafendorf bei St. Pölten N.Ö.,Hinterholz 6 Kirchstetten N.Ö.,,Chester Kallman, Vienna; Florence,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1964-12-23,12/23/1964,Neulinggasse 26/14 Wien IV ,Berlin-Dahlem Hubertusbaderstrasse 43 Deutschland;,,Charles Williams;  , Ost-Berlin,The National Review ,,Christmas
Autograph Letter Signed W. H. Auden to Stella Musulin 1965-09-29,9/29/1965,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,Vienna; Amerika Haus ,,“The N.D.R”,a reception at Amerika Haus 
Autograph Letter Signed W. H. Auden to Stella Musulin 1967-11-08,11/8/1967,Neulinggasse 26 Wien III,77 St Mark's Place New York City New York 10003 U.S.A ,Wien I Wipplingerstrasse 24-26,Emma Eiermann; Dr Walter Redlich; The Archbishop of Canterbury,Fridau; Vienna; Kirchstetten; Canterbury ,,,Death of Emma Eiermann 
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-02-06,2/6/1968,Neulinggasse 26 Wien III,78 St Mark's Place New York City New York 10003 U.S.A ,,“Strobl”; “Wandl”; “Elizabeth”; the Eiermanns,Vienna; Hotel Königin von Hungarn ,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-10-06,10/6/1968,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,24 Russell Square W.C. I London,“Christiane”,,Faber and Faber ,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-10-12,10/12/1968,Neulinggasse 26 Wien III,32 Bryanston Square London. N.W. I England ,,Peter Heyworth,Christ Church Oxford; Fridau;,,,
